Professor	Institution	Subject	Source
Oha Abdeljaber	New Jersey Institute of Technology	Mathematics	Great Courses Faculty
Kathleen Adams	Loyola Univ. of Chicago	Anthropology	Great Courses Faculty
Dr. Vittorio Addona	Macalester College	Mathematics	Great Courses Faculty
Beverly McCullough Almond	Univ. of Mary Washington	English	Great Courses Faculty
Paul Anderson	Albion College	Mathematics	Great Courses Faculty
Paul Christopher Anderson	Clemson Univ.	History	Great Courses Faculty
Erik Anderson	Drew Univ.	Philosophy	Great Courses Faculty
Robert M. Anderson M.D.	Mills College	Anthropology	Great Courses Faculty
Arnie Arluke	Northeastern Univ.	Sociology	Great Courses Faculty
Denis Auroux	Univ. of California â€“ Berkeley	Mathematics	Great Courses Faculty
Rick Axtell	Centre College	Religion	Great Courses Faculty
Dr. David Baker	Austin College	Physics	Great Courses Faculty
Elizabeth Barnes	College of William & Mary	English	Great Courses Faculty
Kenn Barron	James Madison Univ.	Psychology	Great Courses Faculty
Susan R. Barry	Mount Holyoke College	Biology	Great Courses Faculty
Jennifer Basil	City University of New York â€“ Brooklyn College	Biology	Great Courses Faculty
Charlie Bass	Wofford College	Chemistry	Great Courses Faculty
Lori Bassman	Harvey Mudd College	Engineering	Great Courses Faculty
Fred Baumann	Kenyon College	Political Science	Great Courses Faculty
T. Randolph Beard Ph.D.	Auburn Univ.	Economics	Great Courses Faculty
P. Robert Beatty	Univ. of California â€“ Berkeley	Biology	Great Courses Faculty
John Beeler	Univ. of Alabama â€“ Tuscaloosa	History	Great Courses Faculty
Arthur Benjamin	Brigham Young Univ.	Biology	Great Courses Faculty
Curtis Bennett	Harvey Mudd College	Mathematics	Great Courses Faculty
Jeffrey Berman	Loyola Marymount Univ.	Mathematics	Great Courses Faculty
David Bernstein	State University of New York â€“ Albany	English	Great Courses Faculty
Joe Biel	James Madison Univ.	Computer Science	Great Courses Faculty
Kathleen A. Bishop Ph.D.	California State Univ. â€“ Fullerton	Art (Studio)	Great Courses Faculty
Joyce Boland-DeVito Esq.	New York Univ.	Humanities	Great Courses Faculty
Rick Bommelje	St. John's University (NY)	Business Law	Great Courses Faculty
David Bost	Rollins College	Communication	Great Courses Faculty
Paul Bracken	Furman Univ.	Foreign Language (Spanish)	Great Courses Faculty
Charles L. Brewer	Yale Univ.	Management	Great Courses Faculty
Victoria Brown	Furman Univ.	Psychology	Great Courses Faculty
Peter Burns	Grinnell College	History	Great Courses Faculty
Dale F. Burnside	Loyola Univ. New Orleans	Political Science	Great Courses Faculty
John W. Burton	Lenoir-Rhyne Univ.	Biology	Great Courses Faculty
Dara N. Byrne Ph.D.	Connecticut College	Anthropology	Great Courses Faculty
Victor L. Cahn	John Jay College of Criminal Justice	Communication	Great Courses Faculty
Gerard Callanan	Skidmore College	English	Great Courses Faculty
Scott Campbell	West Chester Univ. of Pennsylvania	Management	Great Courses Faculty
Walter Campbell	Nazareth College	Philosophy	Great Courses Faculty
Hector R. Campos	Univ. of California â€“ Santa Cruz	Foreign Language (German)	Great Courses Faculty
Richard Capobianco	Georgetown Univ.	Foreign Language (Spanish)	Great Courses Faculty
Matthew Carnes	Stonehill College	Philosophy	Great Courses Faculty
Ralph G. Carter	Georgetown Univ.	Government	Great Courses Faculty
Rebecca Walker Clarke	Texas Christian Univ.	Political Science	Great Courses Faculty
Anne Clem	Brigham Young Univ.	English	Great Courses Faculty
Regis Clifford	Iowa State University	Accounting	Great Courses Faculty
Paul Clingan	St. John's University (NY)	Marketing	Great Courses Faculty
Bradford R. Collins	Ohio State Univ.	Engineering	Great Courses Faculty
Dr. Bruce Michael Conforth	Univ. of South Carolina	Art (History)	Great Courses Faculty
Thomas Conner	Univ. of Michigan-Ann Arbor	American Culture	Great Courses Faculty
Kevin Corcoran	Hillsdale College	History	Great Courses Faculty
Phillip Cornwell	Calvin College	Philosophy	Great Courses Faculty
Javier Corrales	Rose Hulman Institute of Technology	Engineering	Great Courses Faculty
Jay Corrigan Ph.D.	Amherst College	Political Science	Great Courses Faculty
Lisa Cravens-Brown	Kenyon College	Economics	Great Courses Faculty
Susan Croll	Ohio State Univ.	Psychology	Great Courses Faculty
Jane F. Crosthwaite	City Univ. of New York â€“ Queens College	Psychology	Great Courses Faculty
Yolanda P. Cruz	Mount Holyoke College	Religion	Great Courses Faculty
Light T. Cummins	Oberlin College	Biology	Great Courses Faculty
Philip Daileader	Austin College	History	Great Courses Faculty
David B. Daniel	College of William & Mary	History	Great Courses Faculty
Susan Daniels	James Madison Univ.	Psychology	Great Courses Faculty
David Denby	Mount Holyoke College	Theater	Great Courses Faculty
Diana DePardo-Minsky	Tufts Univ.	Philosophy	Great Courses Faculty
Shreesh Deshpande	Bard College	Art (History)	Great Courses Faculty
David Dessler	Univ. of San Diego	Finance	Great Courses Faculty
Robert Devigne	College of William & Mary	Government	Great Courses Faculty
Del Dickson	Tufts Univ.	Political Science	Great Courses Faculty
R.M. Douglas	Univ. of San Diego	Political Science	Great Courses Faculty
Kimberly D.R. DuVall	Colgate Univ.	History	Great Courses Faculty
J.C. Ellefson	James Madison Univ.	Psychology	Great Courses Faculty
Melvin Patrick Ely	Champlain College	English (Creative Writing)	Great Courses Faculty
Diane Evans	College of William & Mary	History	Great Courses Faculty
Thomas Famula	Rose Hulman Institute of Technology	Mathematics	Great Courses Faculty
Christopher Fee	Univ. of California â€“ Davis	Animal Science	Great Courses Faculty
Timothy Fehler	Gettysburg College	English	Great Courses Faculty
Gerald W. Feigenson	Furman Univ.	History	Great Courses Faculty
Vinnie Ferraro	Cornell Univ.	Biochemistry	Great Courses Faculty
Dr. W. Macy Finck	Mount Holyoke College	International Studies	Great Courses Faculty
Rachel Fink	Auburn Univ.	Economics	Great Courses Faculty
Richard Fleming	Mount Holyoke College	Biology	Great Courses Faculty
Dr. Connie Fletcher	Bucknell University	Philosophy	Great Courses Faculty
Mike Foley	Loyola Univ. of Chicago	Journalism	Great Courses Faculty
Leonard Folgarait	Univ. of Florida	Journalism	Great Courses Faculty
Amy Frary	Vanderbilt Univ.	Art (History)	Great Courses Faculty
Fredrick P. Frieden Ph.D.	Mount Holyoke College	Biology	Great Courses Faculty
Erik Fritsvold	College of William & Mary	Psychology	Great Courses Faculty
Rachel Gans-Boriskin	Univ. of San Diego	Criminal Justice	Great Courses Faculty
John B. Geddes	Northeastern Univ.	Communication	Great Courses Faculty
Douglas Gentile	Franklin W. Olin College of Engineering	Mathematics	Great Courses Faculty
Richard Gillin	Iowa State University	Psychology	Great Courses Faculty
Mary Glaser	Washington College	English	Great Courses Faculty
Karen Gocsik	Tufts Univ.	Mathematics	Great Courses Faculty
John Gordon	Dartmouth College	Writing	Great Courses Faculty
Stephanie Gould	Connecticut College	Literature	Great Courses Faculty
John Goulet	Austin College	Chemistry	Great Courses Faculty
Megan M. Granich	Worcester Polytechnic Institute	Mathematics	Great Courses Faculty
Elton Graves	Loyola Marymount Univ.	Mathematics	Great Courses Faculty
Jared Green	Rose Hulman Institute of Technology	Mathematics	Great Courses Faculty
Ron Gronsky	Stonehill College	English	Great Courses Faculty
Arthur Gross-Schaefer	Univ. of California â€“ Berkeley	Engineering	Great Courses Faculty
Stephen W. Guerrier	Loyola Marymount Univ.	Business Law	Great Courses Faculty
Tom Gufrey	James Madison Univ.	History	Great Courses Faculty
Michael Haaf	California State Univ. â€“ Long Beach	Chemistry	Great Courses Faculty
Rosalind Hall	Ithaca College	Chemistry	Great Courses Faculty
Linda Hall	Brigham Young Univ.	Music	Great Courses Faculty
Devon W. Hanahan	Skidmore College	English	Great Courses Faculty
Tekla A. Harms	College of Charleston	Foreign Language (Spanish)	Great Courses Faculty
Karen Harpp	Amherst College	Geology	Great Courses Faculty
James Hartley	Colgate Univ.	Geology	Great Courses Faculty
Mary Stillwell Haupt	Mount Holyoke College	Economics	Great Courses Faculty
Audrey Haynes	SUNY-Binghamton Univ.	Journalism	Great Courses Faculty
Barrett Hazeltine	Univ. of Georgia	Political Science	Great Courses Faculty
Richard Hazlett	Brown Univ.	Engineering	Great Courses Faculty
Byran Hendricks	Pomona College	Geology	Great Courses Faculty
Dan Hubbard	Univ. of Wisconsin â€“ Madison	Psychology	Great Courses Faculty
George W. Hudler	Univ. of Mary Washington	Accounting	Great Courses Faculty
Larry R. Huffman	Cornell Univ.	Agriculture	Great Courses Faculty
Tom Hughes	James Madison Univ.	Education	Great Courses Faculty
Claude Mark Hurlbert	Univ. of South Carolina	Business Law	Great Courses Faculty
William Hutton	Indiana Univ. of Pennsylvania	English	Great Courses Faculty
Raymond Skip Hyser	College of William & Mary	Classics	Great Courses Faculty
Joe Irvine	James Madison Univ.	History	Great Courses Faculty
Justin A. Jackson	Ohio State Univ.	Business Law	Great Courses Faculty
Jon Jacobsen	Hillsdale College	English	Great Courses Faculty
John M. Janiga	Harvey Mudd College	Mathematics	Great Courses Faculty
Dr. David Jaynes	Loyola Univ. of Chicago	Accounting	Great Courses Faculty
Dr. Melvin A. Jenkins	James Madison Univ.	Biology	Great Courses Faculty
Elizabeth Jensen	Indiana Univ. of Pennsylvania	Developmental Studies	Great Courses Faculty
Pamela Jensen	Hamilton College	Economics	Great Courses Faculty
Doug Johnson	Kenyon College	Political Science	Great Courses Faculty
Martin Jones	Colgate Univ.	Psychology	Great Courses Faculty
Dr. James J. Jozefowicz	College of Charleston	Mathematics	Great Courses Faculty
Alan Karras	Indiana Univ. of Pennsylvania	Economics	Great Courses Faculty
Joshua T. Katz	Univ. of California â€“ Berkeley	International Studies	Great Courses Faculty
Spencer Kelly	Princeton Univ.	Classics	Great Courses Faculty
Panayotis Kevrekidis	Colgate Univ.	Psychology	Great Courses Faculty
Pauline Khan	Univ. of Massachusetts-Amherst	Mathematics	Great Courses Faculty
Sung Kyu Kim	Univ. of Michigan	Communication	Great Courses Faculty
Professor Kimora	Macalester College	Physics	Great Courses Faculty
Chris Kingston	John Jay College of Criminal Justice	Interdisciplinary Studies	Great Courses Faculty
Dr. Thomas M. Kitts	Amherst College	Economics	Great Courses Faculty
John Knox	St. John's University (NY)	English	Great Courses Faculty
Robert Kosinski	Univ. of Georgia	Geography	Great Courses Faculty
Dr. Robert Kostelnik	Clemson Univ.	Biology	Great Courses Faculty
Robin Kowalski	Indiana Univ. of Pennsylvania	Sport Management	Great Courses Faculty
Charles Kutal	Clemson Univ.	Psychology	Great Courses Faculty
John Lachs	Univ. of Georgia	Chemistry	Great Courses Faculty
John M. Lammert	Vanderbilt Univ.	Philosophy	Great Courses Faculty
Joshua Landy	Gustavus Adolphus College	Biology	Great Courses Faculty
Joseph Lauinger	Stanford Univ.	Foreign Language (French)	Great Courses Faculty
B.M. Lavelle	Sarah Lawrence College	Literature	Great Courses Faculty
Brad Lehman	Loyola Univ. of Chicago	Classics	Great Courses Faculty
David Leibowitz	Northeastern Univ.	Engineering	Great Courses Faculty
Richard Leitch	Kenyon College	Political Science	Great Courses Faculty
Gary Lewandowski Jr.	Gustavus Adolphus College	Political Science	Great Courses Faculty
Walter Lewin	Monmouth Univ.	Psychology	Great Courses Faculty
Scott B. Lewis	Massachusetts Institute of Technology	Physics	Great Courses Faculty
Ran Libeskind-Hadas	James Madison Univ.	Chemistry	Great Courses Faculty
Miriam Liss	Harvey Mudd College	Computer Science	Great Courses Faculty
Avi O. Liveson	Univ. of Mary Washington	Psychology	Great Courses Faculty
Rowan Lockwood	City Univ. of New York â€“ Hunter College	Economics	Great Courses Faculty
Stephen Long	College of William & Mary	Geology	Great Courses Faculty
Larry Louters	Univ. of Richmond	Political Science	Great Courses Faculty
LisaMarie Luccioni	Calvin College	Chemistry	Great Courses Faculty
